epoch_seconds rchar_bytes wchar_bytes syscr_calls syscw_calls read_bytes write_bytes utime_ticks stime_ticks starttime_ticks mmcblk0_reads_completed read_merges read_sectors read_ticks_ms writes_completed write_merges write_sectors write_ticks_ms in_flight io_ticks_ms
1790332780.495 491488444 15861871 48668237 8671 1133568 41385984 119360 297285 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332781.499 491490223 15861871 48680015 8671 1133568 41385984 119382 297363 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332782.502 491490801 15861871 48691867 8671 1133568 41385984 119407 297438 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332783.505 491494156 15861871 48703712 8671 1133568 41385984 119432 297513 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332784.508 491494394 15861871 48715612 8671 1133568 41385984 119453 297592 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332785.511 491495739 15861871 48727428 8671 1133568 41385984 119475 297670 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332786.514 491496489 15861871 48739303 8671 1133568 41385984 119493 297752 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332787.517 491497101 15861871 48751172 8671 1133568 41385984 119513 297831 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332788.521 491498077 15861871 48763052 8671 1133568 41385984 119537 297908 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332789.524 491499379 15861871 48774917 8671 1133568 41385984 119564 297981 12925872 87801 1471 849386 92844 33262 16724 337476 167452 0 224185
1790332790.528 491969541 16057455 48778846 8825 1133568 42078208 119579 298006 12925872 87801 1471 849386 92844 33418 16953 337861 168061 1 224864
1790332791.531 492662812 16339567 48779150 9053 1133568 43085824 119586 298011 12925872 87801 1471 849386 92844 33646 17276 338412 168946 1 225850
1790332792.534 493856302 16615535 48779815 9269 1133568 44040192 119600 298017 12925872 87801 1471 849386 92844 33862 17599 338951 169759 0 226771
1790332793.538 495018692 16876655 48780507 9475 1133568 44949504 119613 298023 12925872 87801 1471 849386 92844 34068 17903 339461 170570 1 227687
1790332794.541 496221718 17135727 48781141 9689 1133568 45891584 119626 298029 12925872 87801 1471 849386 92844 34282 18199 339967 171393 0 228615
1790332795.544 497027021 17419375 48781513 9914 1133568 46882816 119636 298033 12925872 87801 1471 849386 92844 34508 18529 340523 172272 1 229596
1790332796.548 498128167 17698415 48782033 10136 1133568 47865856 119651 298037 12925872 87801 1471 849386 92844 34730 18848 341068 173091 1 230521
1790332797.551 499243364 17967215 48782537 10357 1133568 48840704 119666 298041 12925872 87801 1471 849386 92844 34951 19159 341593 173913 1 231448
1790332798.554 500357920 18237551 48783047 10574 1133568 49790976 119680 298046 12925872 87801 1471 849386 92844 35168 19463 342121 174738 0 232376
1790332799.557 501302744 18513519 48783496 10790 1133568 50749440 119692 298050 12925872 87801 1471 849386 92844 35384 19786 342660 175558 1 233305
1790332800.561 502386327 18778223 48783982 11003 1133568 51687424 119707 298054 12925872 87801 1471 849386 92844 35598 20091 343179 176393 1 234215
1790332801.564 503380662 19054191 48784441 11219 1133568 52645888 119721 298058 12925872 87801 1471 849386 92844 35814 20414 343718 177229 1 235155
1790332802.567 504468266 19324015 48784927 11436 1133568 53596160 119736 298062 12925872 87801 1471 849386 92844 36031 20731 344245 178049 1 236076
1790332803.571 505515331 19598959 48785393 11656 1133568 54571008 119750 298066 12925872 87801 1471 849386 92844 36251 21039 344782 178876 0 237001
1790332804.574 506559217 19874927 48785819 11878 1133568 55549952 119763 298070 12925872 87801 1471 849386 92844 36473 21356 345321 179706 1 237933
1790332805.578 507573229 20151407 48786241 12095 1133568 56508416 119777 298075 12925872 87801 1471 849386 92844 36691 21680 345863 180531 1 238855
1790332806.581 508627355 20425327 48786677 12319 1133568 57499648 119791 298079 12925872 87801 1471 849386 92844 36915 21995 346398 181363 0 239791
1790332807.585 508694154 20449391 48797597 12341 1133568 57589760 119811 298152 12925872 87801 1471 849386 92844 36937 22016 346445 181439 0 239875
1790332808.588 508694458 20449391 48809461 12341 1133568 57589760 119831 298232 12925872 87801 1471 849386 92844 36937 22016 346445 181439 0 239875
1790332809.591 508694571 20449391 48821338 12341 1133568 57589760 119850 298313 12925872 87801 1471 849386 92844 36937 22016 346445 181439 0 239875
1790332810.594 508696611 20449391 48833125 12341 1133568 57589760 119876 298386 12925872 87801 1471 849386 92844 36938 22017 346447 181443 0 239880
1790332811.597 508698481 20449391 48844997 12341 1133568 57589760 119904 298459 12925872 87801 1471 849386 92844 36938 22017 346447 181443 0 239880
1790332812.600 508718578 20451951 48856523 12346 1133568 57614336 119929 298531 12925872 87801 1471 849386 92844 36943 22017 346452 181468 0 239909
1790332813.603 508719317 20451951 48868387 12346 1133568 57614336 119949 298611 12925872 87801 1471 849386 92844 36943 22017 346452 181468 0 239909
1790332814.606 508719555 20451951 48880266 12346 1133568 57614336 119966 298694 12925872 87801 1471 849386 92844 36943 22017 346452 181468 0 239909
1790332815.609 508720358 20451951 48892072 12346 1133568 57614336 119990 298770 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332816.612 508721012 20451951 48903930 12346 1133568 57614336 120014 298846 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332817.615 508721481 20451951 48915803 12346 1133568 57614336 120036 298924 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332818.618 508722726 20451951 48927680 12346 1133568 57614336 120058 299002 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332819.621 508723530 20451951 48939557 12346 1133568 57614336 120075 299085 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332820.624 508724238 20451951 48951353 12346 1133568 57614336 120095 299165 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332821.627 508725249 20451951 48963216 12346 1133568 57614336 120119 299241 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332822.630 508725903 20451951 48975078 12346 1133568 57614336 120145 299315 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332823.633 508726202 20451951 48986943 12346 1133568 57614336 120171 299389 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332824.636 508726500 20451951 48998828 12346 1133568 57614336 120191 299469 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332825.639 508727393 20451951 49010631 12346 1133568 57614336 120210 299549 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332826.642 508728209 20451951 49022497 12346 1133568 57614336 120232 299628 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332827.645 508728738 20451951 49034366 12346 1133568 57614336 120254 299706 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332828.648 508729228 20451951 49046231 12346 1133568 57614336 120276 299784 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332829.651 508729281 20451951 49058119 12346 1133568 57614336 120297 299862 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332830.654 508730857 20451951 49069927 12346 1133568 57614336 120315 299944 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332831.657 508731976 20451951 49081787 12346 1133568 57614336 120335 300025 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332832.660 508732690 20451951 49093643 12346 1133568 57614336 120358 300101 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332833.663 508732845 20451951 49105517 12346 1133568 57614336 120386 300174 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332834.666 508733359 20451951 49117381 12346 1133568 57614336 120413 300247 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332835.669 508733642 20451951 49129200 12346 1133568 57614336 120434 300326 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332836.673 508734488 20451951 49141104 12346 1133568 57614336 120455 300404 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332837.681 508734957 20451951 49153019 12346 1133568 57614336 120477 300483 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332838.684 508735255 20451951 49164883 12346 1133568 57614336 120501 300559 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
1790332839.687 508735374 20451951 49176758 12346 1133568 57614336 120525 300635 12925872 87801 1471 849386 92844 36944 22018 346454 181471 0 239913
