CONFIG_END	pc	cacr	tc
CONFIG_END	4081C940	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	544636928	544636928	544636928
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	544636928	82759773	6.580938	54343339	73931572	3357816
STATE	id	cycles	entries	percent
STATE	3	47485742	11262296	8.718789
STATE	4	42831152	35035929	7.864166
STATE	5	274864	274864	0.050467
STATE	8	17018504	8032389	3.124743
STATE	9	201149505	34810213	36.932770
STATE	10	81909835	26076995	15.039347
STATE	11	2457405	2457405	0.451201
STATE	13	3055224	3049805	0.560965
STATE	15	1105336	1105336	0.202949
STATE	16	687148	687148	0.126166
STATE	17	587797	587797	0.107925
STATE	18	5518	5518	0.001013
STATE	19	2671830	2671830	0.490571
STATE	20	27853656	27853656	5.114170
STATE	21	528260	528260	0.096993
STATE	22	2248410	2248410	0.412827
STATE	23	641073	641073	0.117706
STATE	24	1170205	1170205	0.214860
STATE	26	1183139	1183139	0.217234
STATE	27	1403948	1403948	0.257777
STATE	28	4410828	4410828	0.809866
STATE	29	98644	98644	0.018112
STATE	30	302368	28357	0.055517
STATE	31	574	574	0.000105
STATE	34	253856	137520	0.046610
STATE	35	137532	137532	0.025252
STATE	36	137532	137532	0.025252
STATE	37	137532	137532	0.025252
STATE	38	12	12	0.000002
STATE	39	137532	137532	0.025252
STATE	41	137532	137532	0.025252
STATE	42	137532	137532	0.025252
STATE	43	15717	15717	0.002886
STATE	44	15717	15717	0.002886
STATE	45	15717	15717	0.002886
STATE	46	15717	15717	0.002886
STATE	47	15717	15717	0.002886
STATE	48	97359	97359	0.017876
STATE	49	105	105	0.000019
STATE	51	943393	915145	0.173215
STATE	52	372141	372141	0.068328
STATE	53	4715738	4714529	0.865850
STATE	55	773063	773063	0.141941
STATE	56	797476	797476	0.146423
STATE	57	92112	92112	0.016913
STATE	58	281473	281473	0.051681
STATE	59	10598	10598	0.001946
STATE	62	178769	178769	0.032824
STATE	65	178770	178770	0.032824
STATE	68	812729	812729	0.149224
STATE	69	595269	595269	0.109296
STATE	70	3625575	3625575	0.665687
STATE	78	120099	120099	0.022051
STATE	79	120099	120099	0.022051
STATE	81	186924	186924	0.034321
STATE	82	297179	183892	0.054565
STATE	87	1540	1540	0.000283
STATE	89	2505331	2505331	0.460000
STATE	90	2505331	2505331	0.460000
STATE	91	2505331	2505331	0.460000
STATE	92	10021324	10021324	1.840001
STATE	93	10021324	10021324	1.840001
STATE	94	10021324	10021324	1.840001
STATE	95	10021324	10021324	1.840001
STATE	96	2505331	2505331	0.460000
STATE	97	2505331	2505331	0.460000
STATE	98	44367	44367	0.008146
STATE	99	98644	98644	0.018112
STATE	102	217460	217460	0.039928
STATE	103	3976	3976	0.000730
STATE	104	3976	3976	0.000730
STATE	106	91200	30400	0.016745
STATE	107	91797	1540	0.016855
STATE	112	278212	278212	0.051082
STATE	113	278212	278212	0.051082
STATE	114	39566	39566	0.007265
STATE	115	6384	6384	0.001172
STATE	116	39566	39566	0.007265
STATE	117	238646	238646	0.043817
STATE	118	238646	238646	0.043817
STATE	119	3632	3632	0.000667
STATE	120	238646	238646	0.043817
STATE	121	81890	81890	0.015036
STATE	122	42	42	0.000008
STATE	129	6384	6384	0.001172
STATE	130	278212	278212	0.051082
STATE	131	278212	278212	0.051082
STATE	132	81890	81890	0.015036
STATE	133	1929316	14057	0.354239
STATE	151	30	30	0.000006
STATE	152	6	6	0.000001
STATE	153	1117	840	0.000205
STATE	154	62	62	0.000011
STATE	155	128	128	0.000024
STATE	157	16	16	0.000003
STATE	158	120	120	0.000022
STATE	160	966	273	0.000177
STATE	161	381	381	0.000070
STATE	162	536	322	0.000098
STATE	163	304	304	0.000056
STATE	164	214	214	0.000039
STATE	165	466	466	0.000086
STATE	167	18	18	0.000003
STATE	171	6	6	0.000001
STATE	173	319	319	0.000059
STATE	175	6608	176	0.001213
STATE	176	666	25	0.000122
STATE	177	40	40	0.000007
STATE	178	3263565	1099952	0.599218
STATE	179	962458	962458	0.176716
STATE	180	137494	137494	0.025245
STATE	181	15606	15606	0.002865
STATE	182	156	156	0.000029
STATE	183	156	156	0.000029
STATE	190	24730730	14839498	4.540774
STATE	191	12	12	0.000002
STATE	250	1894900	1355676	0.347920
MEM	name	value
MEM	mrd_cycles_cst0	65623106
MEM	mrd_cycles_cst1	7477794
MEM	mrd_cycles_cst4	49448719
MEM	mrd_cycles_cst5	2650264
MEM	mrd_cycles_cst6	75949622
MEM	mwr_cycles_cst0	43308922
MEM	mwr_cycles_cst1	706584
MEM	mwr_cycles_cst4	19593554
MEM	mwr_cycles_cst5	1408933
MEM	mwr_cycles_cst6	16891842
MEM	mrd_cycles_sb_pending	21516612
MEM	mwr_cycles_sb_pending	34560407
MEM	data_tagwrite_entries	2261243
MEM	instr_tagwrite_entries	3453586
MEM	sb_push_signal_samples	26023359
MEM	sb_full_request_samples	418861
MEM	read_with_store_pending_samples	7724352
MEM	pass_cycles_write	27594077
MEM	pass_cycles_read	74995756
CACHE_STATE	id	cycles	percent
CACHE_STATE	0	309965286	56.912279
CACHE_STATE	1	15017722	2.757382
CACHE_STATE	4	109549962	20.114310
CACHE_STATE	5	5714829	1.049292
CACHE_STATE	6	102589833	18.836371
CACHE_STATE	7	1799296	0.330366
TRANSITION	from	to	count
TRANSITION	3	4	11262234
TRANSITION	3	34	61
TRANSITION	4	3	3809589
TRANSITION	4	8	1273037
TRANSITION	4	9	1496194
TRANSITION	4	10	203735
TRANSITION	4	11	1779313
TRANSITION	4	13	90606
TRANSITION	4	20	13663712
TRANSITION	4	34	121815
TRANSITION	4	43	15717
TRANSITION	4	48	85517
TRANSITION	4	51	78423
TRANSITION	4	53	70875
TRANSITION	4	62	121245
TRANSITION	4	65	62889
TRANSITION	4	68	648596
TRANSITION	4	78	120099
TRANSITION	4	81	123120
TRANSITION	4	87	1540
TRANSITION	4	89	2481580
TRANSITION	4	98	41458
TRANSITION	4	104	2591
TRANSITION	4	106	30400
TRANSITION	4	112	256592
TRANSITION	4	133	14057
TRANSITION	4	153	118
TRANSITION	4	167	18
TRANSITION	4	181	255
TRANSITION	4	190	7413738
TRANSITION	4	250	1029100
TRANSITION	5	3	187098
TRANSITION	5	4	46561
TRANSITION	5	20	40966
TRANSITION	5	53	6
TRANSITION	5	56	74
TRANSITION	5	181	131
TRANSITION	5	190	28
TRANSITION	8	13	2646541
TRANSITION	8	15	819952
TRANSITION	8	16	660996
TRANSITION	8	18	5518
TRANSITION	8	19	2671830
TRANSITION	8	20	665601
TRANSITION	8	48	11842
TRANSITION	8	51	173282
TRANSITION	8	53	43764
TRANSITION	8	62	55390
TRANSITION	8	68	164133
TRANSITION	8	81	63804
TRANSITION	8	89	23751
TRANSITION	8	98	2909
TRANSITION	8	104	1385
TRANSITION	8	112	21620
TRANSITION	8	153	23
TRANSITION	8	157	8
TRANSITION	8	177	40
TRANSITION	9	3	2203397
TRANSITION	9	4	7837461
TRANSITION	9	8	6967
TRANSITION	9	10	3081365
TRANSITION	9	11	51941
TRANSITION	9	13	154992
TRANSITION	9	15	8850
TRANSITION	9	17	587797
TRANSITION	9	20	4552610
TRANSITION	9	23	640937
TRANSITION	9	27	1403948
TRANSITION	9	28	3484
TRANSITION	9	42	137532
TRANSITION	9	44	15717
TRANSITION	9	45	15717
TRANSITION	9	46	15717
TRANSITION	9	49	105
TRANSITION	9	51	306701
TRANSITION	9	53	57556
TRANSITION	9	55	16333
TRANSITION	9	56	55055
TRANSITION	9	62	1168
TRANSITION	9	65	54155
TRANSITION	9	70	416202
TRANSITION	9	93	10021324
