CONFIG_END	pc	cacr	tc
CONFIG_END	800C440E	80008000	0000C000
ENABLED_CYCLES	ic	dc	mmu
ENABLED_CYCLES	524160000	524160000	524160000
SUMMARY	cycles	dispatches	clocks_per_dispatch	rd_accept_samples	look_hit_cycles	ipred_hit_cycles
SUMMARY	524160000	84831590	6.178830	57523785	73871773	3604744
STATE	id	cycles	entries	percent
STATE	3	52493031	11771844	10.014696
STATE	4	43210264	35740669	8.243716
STATE	5	255893	255893	0.048820
STATE	8	18447425	8865156	3.519426
STATE	9	198101305	28217785	37.794052
STATE	10	86232010	19253786	16.451467
STATE	11	3167245	3167245	0.604252
STATE	13	3173888	3173888	0.605519
STATE	15	1664473	1664473	0.317551
STATE	16	714085	714085	0.136234
STATE	17	595763	595763	0.113661
STATE	18	5548	5548	0.001058
STATE	19	2801451	2801451	0.534465
STATE	20	29729068	29729068	5.671754
STATE	21	551051	551051	0.105130
STATE	22	2350824	2350824	0.448494
STATE	23	1341414	1341414	0.255917
STATE	24	1893298	1893298	0.361206
STATE	26	1504036	1504036	0.286942
STATE	27	1460056	1460056	0.278552
STATE	28	5488096	5488096	1.047027
STATE	29	98664	98664	0.018823
STATE	30	308563	29872	0.058868
STATE	31	575	575	0.000110
STATE	34	297558	162487	0.056769
STATE	35	162499	162499	0.031002
STATE	36	162499	162499	0.031002
STATE	37	162499	162499	0.031002
STATE	38	12	12	0.000002
STATE	39	162499	162499	0.031002
STATE	41	162499	162499	0.031002
STATE	42	162499	162499	0.031002
STATE	43	15130	15130	0.002887
STATE	44	15130	15130	0.002887
STATE	45	15130	15130	0.002887
STATE	46	15130	15130	0.002887
STATE	47	15130	15130	0.002887
STATE	48	97410	97410	0.018584
STATE	49	119	119	0.000023
STATE	51	985563	957310	0.188027
STATE	52	393605	393605	0.075093
STATE	53	4721359	4720150	0.900748
STATE	55	808631	808631	0.154272
STATE	56	830880	830880	0.158516
STATE	57	90348	90348	0.017237
STATE	58	820046	820046	0.156450
STATE	59	204483	204483	0.039012
STATE	62	213502	213502	0.040732
STATE	65	213504	213504	0.040733
STATE	68	869624	869624	0.165908
STATE	69	635984	635984	0.121334
STATE	70	3834182	3834182	0.731491
STATE	78	120125	120125	0.022918
STATE	79	120125	120125	0.022918
STATE	81	167298	167298	0.031917
STATE	82	279626	163447	0.053347
STATE	87	1948	1948	0.000372
STATE	89	2523121	2523121	0.481365
STATE	90	2523121	2523121	0.481365
STATE	91	2523121	2523121	0.481365
STATE	92	2523121	2523121	0.481365
STATE	96	2523121	2523121	0.481365
STATE	97	2523121	2523121	0.481365
STATE	98	44911	44911	0.008568
STATE	99	98664	98664	0.018823
STATE	102	233640	233640	0.044574
STATE	103	3986	3986	0.000760
STATE	104	3986	3986	0.000760
STATE	106	80772	26924	0.015410
STATE	107	116283	1948	0.022185
STATE	112	380489	380489	0.072590
STATE	113	380489	380489	0.072590
STATE	114	39565	39565	0.007548
STATE	115	6384	6384	0.001218
STATE	116	39565	39565	0.007548
STATE	117	340924	340924	0.065042
STATE	118	340924	340924	0.065042
STATE	119	3668	3668	0.000700
STATE	120	340924	340924	0.065042
STATE	121	133020	133020	0.025378
STATE	122	42	42	0.000008
STATE	129	6384	6384	0.001218
STATE	130	380489	380489	0.072590
STATE	131	380489	380489	0.072590
STATE	132	133020	133020	0.025378
STATE	133	2088468	15204	0.398441
STATE	151	30	30	0.000006
STATE	152	6	6	0.000001
STATE	153	1117	840	0.000213
STATE	154	62	62	0.000012
STATE	155	128	128	0.000024
STATE	157	16	16	0.000003
STATE	158	120	120	0.000023
STATE	160	966	273	0.000184
STATE	161	381	381	0.000073
STATE	162	536	322	0.000102
STATE	163	304	304	0.000058
STATE	164	214	214	0.000041
STATE	165	466	466	0.000089
STATE	167	18	18	0.000003
STATE	171	6	6	0.000001
STATE	173	319	319	0.000061
STATE	175	6655	176	0.001270
STATE	176	560	24	0.000107
STATE	177	40	40	0.000008
STATE	178	3716130	1299632	0.708969
STATE	179	1137178	1137178	0.216952
STATE	180	162454	162454	0.030993
STATE	181	14979	14979	0.002858
STATE	182	156	156	0.000030
STATE	183	156	156	0.000030
STATE	190	26056577	15413800	4.971111
STATE	191	12	12	0.000002
MEM	name	value
MEM	mrd_cycles_cst0	67434294
MEM	mrd_cycles_cst1	9002305
MEM	mrd_cycles_cst4	64395032
MEM	mrd_cycles_cst5	3428885
MEM	mrd_cycles_cst6	53840789
MEM	mwr_cycles_cst0	44200877
MEM	mwr_cycles_cst1	568407
MEM	mwr_cycles_cst4	22893776
MEM	mwr_cycles_cst5	1720836
MEM	mwr_cycles_cst6	16848114
MEM	mrd_cycles_sb_pending	11486367
MEM	mwr_cycles_sb_pending	27759501
MEM	data_tagwrite_entries	3338939
MEM	instr_tagwrite_entries	3815366
MEM	sb_push_signal_samples	26769165
MEM	sb_full_request_samples	51817
MEM	read_with_store_pending_samples	3111029
MEM	pass_cycles_write	28009937
MEM	pass_cycles_read	52842430
CACHE_STATE	id	cycles	percent
CACHE_STATE	0	283072562	54.004991
CACHE_STATE	1	16918270	3.227692
CACHE_STATE	4	134216384	25.605995
CACHE_STATE	5	7154305	1.364909
CACHE_STATE	6	80852367	15.425131
CACHE_STATE	7	1946112	0.371282
TRANSITION	from	to	count
TRANSITION	3	4	11771750
TRANSITION	3	34	94
TRANSITION	4	3	3951988
TRANSITION	4	8	1307344
TRANSITION	4	9	1597392
TRANSITION	4	10	210367
TRANSITION	4	11	2333597
TRANSITION	4	20	14176993
TRANSITION	4	34	147369
TRANSITION	4	43	15130
TRANSITION	4	48	85691
TRANSITION	4	51	86987
TRANSITION	4	53	71767
TRANSITION	4	62	143684
TRANSITION	4	65	67619
TRANSITION	4	68	684564
TRANSITION	4	78	120125
TRANSITION	4	81	109627
TRANSITION	4	87	1948
TRANSITION	4	89	2500096
TRANSITION	4	98	41117
TRANSITION	4	104	2597
TRANSITION	4	106	26924
TRANSITION	4	112	358108
TRANSITION	4	133	15204
TRANSITION	4	153	113
TRANSITION	4	167	18
TRANSITION	4	181	284
TRANSITION	4	190	7684016
TRANSITION	5	3	168761
TRANSITION	5	4	46621
TRANSITION	5	20	40273
TRANSITION	5	53	6
TRANSITION	5	56	80
TRANSITION	5	181	124
TRANSITION	5	190	28
TRANSITION	8	13	3173888
TRANSITION	8	15	890467
TRANSITION	8	16	686410
TRANSITION	8	18	5548
TRANSITION	8	19	2801451
TRANSITION	8	20	703604
TRANSITION	8	48	11719
TRANSITION	8	51	187098
TRANSITION	8	53	44725
TRANSITION	8	62	66850
TRANSITION	8	68	185060
TRANSITION	8	81	57671
TRANSITION	8	89	23025
TRANSITION	8	98	3794
TRANSITION	8	104	1389
TRANSITION	8	112	22381
TRANSITION	8	153	28
TRANSITION	8	157	8
TRANSITION	8	177	40
TRANSITION	9	3	2362103
TRANSITION	9	4	6911951
TRANSITION	9	8	8687
TRANSITION	9	10	5711206
TRANSITION	9	11	64338
TRANSITION	9	15	8679
TRANSITION	9	17	595763
TRANSITION	9	20	5271971
TRANSITION	9	23	1341277
TRANSITION	9	27	1460056
TRANSITION	9	28	3485
TRANSITION	9	42	162499
TRANSITION	9	44	15130
TRANSITION	9	45	15130
TRANSITION	9	46	15130
TRANSITION	9	49	119
TRANSITION	9	51	306383
TRANSITION	9	53	58829
TRANSITION	9	55	16342
TRANSITION	9	56	55890
TRANSITION	9	62	1589
TRANSITION	9	65	63820
TRANSITION	9	70	444652
TRANSITION	9	118	340885
TRANSITION	9	119	3668
TRANSITION	9	153	110
TRANSITION	9	160	120
TRANSITION	9	162	129
TRANSITION	9	165	130
TRANSITION	9	171	6
TRANSITION	9	175	176
TRANSITION	9	181	1666
TRANSITION	9	190	2975865
TRANSITION	10	3	802268
TRANSITION	10	4	1945258
TRANSITION	10	9	2465077
TRANSITION	10	20	2177725
TRANSITION	10	36	162499
TRANSITION	10	37	162499
TRANSITION	10	38	12
TRANSITION	10	39	162499
TRANSITION	10	51	101256
TRANSITION	10	52	393605
TRANSITION	10	53	2885226
TRANSITION	10	55	13358
TRANSITION	10	56	64329
TRANSITION	10	57	90348
TRANSITION	10	62	1366
TRANSITION	10	65	18050
TRANSITION	10	70	2519905
TRANSITION	10	96	2523121
TRANSITION	10	122	42
TRANSITION	10	153	158
TRANSITION	10	161	381
TRANSITION	10	162	85
TRANSITION	10	165	252
TRANSITION	10	176	24
TRANSITION	10	181	1768
TRANSITION	10	183	156
TRANSITION	10	190	2762519
TRANSITION	11	8	1823695
TRANSITION	11	26	191333
TRANSITION	11	55	601082
TRANSITION	11	56	65950
TRANSITION	11	58	112
TRANSITION	11	59	8539
TRANSITION	11	102	157275
TRANSITION	11	117	319221
TRANSITION	11	151	30
TRANSITION	11	152	6
TRANSITION	11	155	2
TRANSITION	13	9	1737574
TRANSITION	13	22	181021
TRANSITION	13	26	390664
TRANSITION	13	55	2188
TRANSITION	13	56	48015
TRANSITION	13	58	527053
TRANSITION	13	59	189583
TRANSITION	13	102	76005
TRANSITION	13	117	21703
TRANSITION	13	155	82
TRANSITION	15	8	686410
TRANSITION	15	9	482639
TRANSITION	15	16	27675
TRANSITION	15	22	728
TRANSITION	15	26	327565
TRANSITION	15	55	21377
TRANSITION	15	56	1453
TRANSITION	15	58	113159
TRANSITION	15	59	3467
TRANSITION	16	9	595763
TRANSITION	16	22	116186
TRANSITION	16	55	1320
TRANSITION	16	58	816
TRANSITION	17	8	5548
TRANSITION	17	22	95352
TRANSITION	17	26	671
TRANSITION	17	55	4175
TRANSITION	17	56	410455
TRANSITION	17	58	79518
TRANSITION	17	155	44
TRANSITION	18	22	3886
TRANSITION	18	26	414
TRANSITION	18	58	1248
TRANSITION	19	22	1953651
TRANSITION	19	26	593389
TRANSITION	19	55	144588
TRANSITION	19	56	8429
TRANSITION	19	58	98140
TRANSITION	19	59	2894
TRANSITION	19	102	360
TRANSITION	20	8	5033424
TRANSITION	20	9	14588151
TRANSITION	20	10	5712732
TRANSITION	20	11	119474
TRANSITION	20	15	765327
TRANSITION	20	21	551051
TRANSITION	20	24	968
TRANSITION	20	28	1391321
TRANSITION	20	190	1566620
TRANSITION	21	24	551051
TRANSITION	22	9	2350824
TRANSITION	23	3	4
TRANSITION	23	20	5
TRANSITION	23	24	1341279
TRANSITION	23	53	15
TRANSITION	23	190	111
TRANSITION	24	11	75144
TRANSITION	24	28	1818154
TRANSITION	26	9	521113
TRANSITION	26	10	305294
TRANSITION	26	28	677629
TRANSITION	27	28	1460056
TRANSITION	28	3	36780
TRANSITION	28	4	2386161
TRANSITION	28	5	43958
TRANSITION	28	10	2689708
TRANSITION	28	20	55616
TRANSITION	28	29	98664
TRANSITION	28	30	25886
TRANSITION	28	51	129019
TRANSITION	28	53	5014
TRANSITION	28	55	2
TRANSITION	28	65	170
TRANSITION	28	103	3986
TRANSITION	28	181	499
TRANSITION	28	190	12633
TRANSITION	29	99	98664
TRANSITION	30	3	218
TRANSITION	30	4	11462
TRANSITION	30	20	17237
TRANSITION	30	31	575
TRANSITION	30	65	6
TRANSITION	30	181	10
TRANSITION	30	190	364
TRANSITION	31	4	24
TRANSITION	31	20	550
TRANSITION	31	181	1
TRANSITION	34	35	162487
TRANSITION	35	10	162499
TRANSITION	36	10	162499
TRANSITION	37	10	162499
TRANSITION	38	10	12
TRANSITION	39	41	162499
TRANSITION	41	9	162499
TRANSITION	42	34	45
TRANSITION	42	178	162454
TRANSITION	43	9	15130
TRANSITION	44	9	15130
TRANSITION	45	9	15130
TRANSITION	46	47	15130
TRANSITION	47	3	7414
TRANSITION	47	181	7716
TRANSITION	48	9	97410
TRANSITION	49	181	119
TRANSITION	51	3	369319
TRANSITION	51	4	107895
TRANSITION	51	10	234246
TRANSITION	51	20	242962
TRANSITION	51	56	1880
TRANSITION	51	62	8
TRANSITION	51	181	19
